Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 1,26.647884,0.000000,,Interface 1,30.000000,6.586629,62.655756,50.000000,0.081592,,0.000000,0.000000,No
Block 1,0.000000,13.780068,,Interface 2,30.000000,6.586629,60.377365,50.000000,0.081592,,,,
Block 1,3.425641,20.093664,,Interface 3,30.000000,6.586629,58.098973,50.000000,0.081592,,,,
Block 1,29.504632,5.265104,,Interface 4,30.000000,6.586629,55.820582,50.000000,0.081592,,,,
Block 1,26.647884,0.000000,,Interface 5,30.000000,6.586629,53.542191,50.000000,0.081592,,,,
Block 2,29.504632,5.265104,,Interface 6,30.000000,6.586629,51.263800,50.000000,0.081592,,0.000000,0.000000,No
Block 2,3.425641,20.093664,,Interface 7,30.000000,6.586629,48.985409,50.000000,0.081592,,,,
Block 2,7.099570,26.266083,,Interface 8,30.000000,6.586629,46.707018,50.000000,0.081592,,,,
Block 2,32.568436,10.412477,,Interface 9,30.000000,6.586629,44.428627,50.000000,0.081592,,,,
Block 2,29.504632,5.265104,,Interface 10,30.000000,6.586629,42.150236,50.000000,0.081592,,,,
Block 3,32.568436,10.412477,,Interface 11,30.000000,6.586629,39.871845,50.000000,0.081592,,0.000000,0.000000,No
Block 3,7.099570,26.266083,,Interface 12,30.000000,6.586629,37.593453,50.000000,0.081592,,,,
Block 3,11.015979,32.287565,,Interface 13,30.000000,6.586629,35.315062,50.000000,0.081592,,,,
Block 3,35.834452,15.433979,,Interface 14,30.000000,6.586629,33.036671,50.000000,0.081592,,,,
Block 3,32.568436,10.412477,,Interface 15,30.000000,6.586629,30.758280,50.000000,0.081592,,,,
Block 4,35.834452,15.433979,,Interface 16,30.000000,6.586629,28.479889,50.000000,0.081592,,0.000000,0.000000,No
Block 4,11.015979,32.287565,,Interface 17,30.000000,6.586629,26.201498,50.000000,0.081592,,,,
Block 4,15.168675,38.148591,,Interface 18,30.000000,6.586629,23.923107,50.000000,0.081592,,,,
Block 4,39.297515,20.321670,,Interface 19,30.000000,6.586629,21.644716,50.000000,0.081592,,,,
Block 4,35.834452,15.433979,,Interface 20,30.000000,6.586629,19.366324,50.000000,0.081592,,,,
Block 5,39.297515,20.321670,,Interface 21,30.000000,6.586629,17.087933,50.000000,0.081592,,0.000000,0.000000,No
Block 5,15.168675,38.148591,,Interface 22,30.000000,6.586629,14.809542,50.000000,0.081592,,,,
Block 5,19.551093,43.839893,,Interface 23,30.000000,6.586629,12.531151,50.000000,0.081592,,,,
Block 5,42.952150,25.067824,,Interface 24,30.000000,6.586629,10.252760,50.000000,0.081592,,,,
