Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 1,22.478368,0.000000,,Interface 1,30.000000,11.050864,48.527956,50.000000,0.136912,,0.000000,0.000000,No
Block 1,0.000000,19.867636,,Interface 2,30.000000,11.050864,47.283649,50.000000,0.136912,,,,
Block 1,7.626331,28.309583,,Interface 3,30.000000,11.050864,46.039343,50.000000,0.136912,,,,
Block 1,29.667963,7.958502,,Interface 4,30.000000,11.050864,44.795036,50.000000,0.136912,,,,
Block 1,22.478368,0.000000,,Interface 5,30.000000,11.050864,43.550730,50.000000,0.136912,,,,
Block 2,29.667963,7.958502,,Interface 6,30.000000,11.050864,42.306423,50.000000,0.136912,,0.000000,0.000000,No
Block 2,7.626331,28.309583,,Interface 7,30.000000,11.050864,41.062117,50.000000,0.136912,,,,
Block 2,15.434186,36.583929,,Interface 8,30.000000,11.050864,39.817810,50.000000,0.136912,,,,
Block 2,37.028685,15.759001,,Interface 9,30.000000,11.050864,38.573504,50.000000,0.136912,,,,
Block 2,29.667963,7.958502,,Interface 10,30.000000,11.050864,37.329197,50.000000,0.136912,,,,
Block 3,37.028685,15.759001,,Interface 11,30.000000,11.050864,36.084890,50.000000,0.136912,,0.000000,0.000000,No
Block 3,15.434186,36.583929,,Interface 12,30.000000,11.050864,34.840584,50.000000,0.136912,,,,
Block 3,23.419881,44.686772,,Interface 13,30.000000,11.050864,33.596277,50.000000,0.136912,,,,
Block 3,44.557063,23.397819,,Interface 14,30.000000,11.050864,32.351971,50.000000,0.136912,,,,
Block 3,37.028685,15.759001,,Interface 15,30.000000,11.050864,31.107664,50.000000,0.136912,,,,
Block 4,44.557063,23.397819,,Interface 16,30.000000,11.050864,29.863358,50.000000,0.136912,,0.000000,0.000000,No
Block 4,23.419881,44.686772,,Interface 17,30.000000,11.050864,28.619051,50.000000,0.136912,,,,
Block 4,31.579651,52.614291,,Interface 18,30.000000,11.050864,27.374744,50.000000,0.136912,,,,
Block 4,52.249547,30.871353,,Interface 19,30.000000,11.050864,26.130438,50.000000,0.136912,,,,
Block 4,44.557063,23.397819,,Interface 20,30.000000,11.050864,24.886131,50.000000,0.136912,,,,
Block 5,52.249547,30.871353,,Interface 21,30.000000,11.050864,23.641825,50.000000,0.136912,,0.000000,0.000000,No
Block 5,31.579651,52.614291,,Interface 22,30.000000,11.050864,22.397518,50.000000,0.136912,,,,
