Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 1,43.195544,27.432895,,Interface 1,30.136371,35.127181,63.7247,50,0.42045,,0,0,No
Block 1,41.548823,28.777169,,Interface 2,26.339103,38.133623,50.774078,50,0.441636,,,,
Block 1,21.145014,45.433487,,Interface 3,25.981882,29.432905,38.504182,50,0.345327,,,,
Block 1,0.296023,13.34091,,Interface 4,26.359987,29.141506,24.808943,50,0.335747,,,,
Block 1,27.318624,0,,Interface 5,25.746532,33.983284,12.311989,50,0.364118,,,,
Block 1,43.195544,27.432895,,Interface 6,24.830472,34.114043,2.759093,50,0.363725,,,,
Block 2,68.170683,51.664508,,Interface 7,26.339392,29.701125,-6.561491,50,0.359871,,0,0,No
Block 2,66.351023,53.951792,,Interface 8,24.326404,29.381367,-18.132542,50,0.323014,,,,
Block 2,50.175437,74.284244,,Interface 9,26.91938,34.583195,-28.236148,50,0.390776,,,,
Block 2,20.147457,46.247826,,Interface 10,0,34.308097,-90,50,0.370903,,,,
Block 2,21.145014,45.433487,,Interface 11,30.3454,34.826733,-52.996876,50,0.438324,,,,
Block 2,41.548823,28.777169,,Interface 12,30.803145,,-62.193939,50,,,,,
Block 2,68.170683,51.664508,,,,,,,,,,,
Block 3,78.01737,91.148037,,,,,,,,,0,-1,No
Block 3,77.280608,92.741882,,,,,,,,,,,
Block 3,48.537226,76.343449,,,,,,,,,,,
Block 3,50.175437,74.284244,,,,,,,,,,,
Block 3,66.351023,53.951792,,,,,,,,,,,
Block 3,89.077857,67.22076,,,,,,,,,,,
Block 3,78.01737,91.148037,,,,,,,,,,,
Block 4,109.260453,98.036711,,,,,,,,,0,0,No
Block 4,108.897082,99.701608,,,,,,,,,,,
Block 4,78.01737,91.148037,,,,,,,,,,,
Block 4,89.077857,67.22076,,,,,,,,,,,
Block 4,90.234,64.719664,,,,,,,,,,,
Block 4,114.750511,72.882325,,,,,,,,,,,
Block 4,109.260453,98.036711,,,,,,,,,,,
Block 5,145.012346,102.920175,,,,,,,,,0,0,No
Block 5,109.260453,98.036711,,,,,,,,,,,
Block 5,114.750511,72.882325,,,,,,,,,,,
Block 5,115.089983,71.326928,,,,,,,,,,,
Block 5,146.207602,78.118487,,,,,,,,,,,
Block 5,145.012346,102.920175,,,,,,,,,,,
Block 6,181.163816,101.49633,,,,,,,,,0,0,No
Block 6,144.982794,103.533401,,,,,,,,,,,
Block 6,145.012346,102.920175,,,,,,,,,,,
Block 6,146.207602,78.118487,,,,,,,,,,,
Block 6,178.154028,75.329467,,,,,,,,,,,
Block 6,181.163816,101.49633,,,,,,,,,,,
Block 7,213.067846,97.826636,,,,,,,,,0,0,No
Block 7,181.584636,105.154898,,,,,,,,,,,
Block 7,181.163816,101.49633,,,,,,,,,,,
Block 7,178.154028,75.329467,,,,,,,,,,,
Block 7,203.811966,69.562608,,,,,,,,,,,
Block 7,205.497073,74.708303,,,,,,,,,,,
Block 7,213.067846,97.826636,,,,,,,,,,,
Block 8,242.768274,86.817044,,,,,,,,,0,0,No
Block 8,213.702434,99.764435,,,,,,,,,,,
Block 8,213.067846,97.826636,,,,,,,,,,,
Block 8,205.497073,74.708303,,,,,,,,,,,
Block 8,230.032536,63.100931,,,,,,,,,,,
Block 8,242.768274,86.817044,,,,,,,,,,,
Block 9,270.495743,69.170611,,,,,,,,,0,0,No
Block 9,270.847046,69.571388,,,,,,,,,,,
Block 9,244.014324,89.1374,,,,,,,,,,,
Block 9,242.768274,86.817044,,,,,,,,,,,
Block 9,230.032536,63.100931,,,,,,,,,,,
Block 9,228.704531,60.627961,,,,,,,,,,,
Block 9,249.693097,45.43837,,,,,,,,,,,
Block 9,251.476575,47.473012,,,,,,,,,,,
Block 9,270.495743,69.170611,,,,,,,,,,,
Block 10,270.495743,69.170611,,,,,,,,,0,0,No
Block 10,251.476575,47.473012,,,,,,,,,,,
Block 10,268.801139,26.961386,,,,,,,,,,,
Block 10,269.733806,27.66428,,,,,,,,,,,
Block 10,293.967724,45.92792,,,,,,,,,,,
Block 10,270.495743,69.170611,,,,,,,,,,,
Block 11,293.967724,45.92792,,,,,,,,,0,0,No
Block 11,269.733806,27.66428,,,,,,,,,,,
Block 11,286.559421,0,,,,,,,,,,,
Block 11,313.805777,14.369057,,,,,,,,,,,
Block 11,293.967724,45.92792,,,,,,,,,,,
