Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 1,23.113533,0.000000,,Interface 1,30.000000,11.050864,50.394416,50.000000,0.136912,,0.000000,0.000000,No
Block 1,0.000000,19.124972,,Interface 2,30.000000,11.050864,49.150109,50.000000,0.136912,,,,
Block 1,7.347330,27.810831,,Interface 3,30.000000,11.050864,47.905803,50.000000,0.136912,,,,
Block 1,30.040104,8.188445,,Interface 4,30.000000,11.050864,46.661496,50.000000,0.136912,,,,
Block 1,23.113533,0.000000,,Interface 5,30.000000,11.050864,45.417190,50.000000,0.136912,,,,
Block 2,30.040104,8.188445,,Interface 6,30.000000,11.050864,44.172883,50.000000,0.136912,,0.000000,0.000000,No
Block 2,7.347330,27.810831,,Interface 7,30.000000,11.050864,42.928577,50.000000,0.136912,,,,
Block 2,14.881546,36.335090,,Interface 8,30.000000,11.050864,41.684270,50.000000,0.136912,,,,
Block 2,37.142858,16.224546,,Interface 9,30.000000,11.050864,40.439963,50.000000,0.136912,,,,
Block 2,30.040104,8.188445,,Interface 10,30.000000,11.050864,39.195657,50.000000,0.136912,,,,
Block 3,37.142858,16.224546,,Interface 11,30.000000,11.050864,37.951350,50.000000,0.136912,,0.000000,0.000000,No
Block 3,14.881546,36.335090,,Interface 12,30.000000,11.050864,36.707044,50.000000,0.136912,,,,
Block 3,22.599094,44.693729,,Interface 13,30.000000,11.050864,35.462737,50.000000,0.136912,,,,
Block 3,44.418445,24.104511,,Interface 14,30.000000,11.050864,34.218431,50.000000,0.136912,,,,
Block 3,37.142858,16.224546,,Interface 15,30.000000,11.050864,32.974124,50.000000,0.136912,,,,
Block 4,44.418445,24.104511,,Interface 16,30.000000,11.050864,31.729817,50.000000,0.136912,,0.000000,0.000000,No
Block 4,22.599094,44.693729,,Interface 17,30.000000,11.050864,30.485511,50.000000,0.136912,,,,
Block 4,30.496334,52.882806,,Interface 18,30.000000,11.050864,29.241204,50.000000,0.136912,,,,
Block 4,51.863434,31.824624,,Interface 19,30.000000,11.050864,27.996898,50.000000,0.136912,,,,
Block 4,44.418445,24.104511,,Interface 20,30.000000,11.050864,26.752591,50.000000,0.136912,,,,
Block 5,51.863434,31.824624,,Interface 21,30.000000,11.050864,25.508285,50.000000,0.136912,,0.000000,0.000000,No
Block 5,30.496334,52.882806,,Interface 22,30.000000,11.050864,24.263978,50.000000,0.136912,,,,
Block 5,38.569542,60.898460,,Interface 23,30.000000,11.050864,23.019671,50.000000,0.136912,,,,
Block 5,59.474314,39.381246,,Interface 24,30.000000,11.050864,21.775365,50.000000,0.136912,,,,
Block 5,51.863434,31.824624,,Interface 25,30.000000,11.050864,20.531058,50.000000,0.136912,,,,
Block 6,59.474314,39.381246,,Interface 26,30.000000,11.050864,19.286752,50.000000,0.136912,,0.000000,0.000000,No
Block 6,38.569542,60.898460,,Interface 27,30.000000,11.050864,18.042445,50.000000,0.136912,,,,
Block 6,46.814911,68.736909,,Interface 28,30.000000,11.050864,16.798139,50.000000,0.136912,,,,
Block 6,67.247496,46.770811,,Interface 29,30.000000,11.050864,15.553832,50.000000,0.136912,,,,
Block 6,59.474314,39.381246,,Interface 30,30.000000,11.050864,14.309526,50.000000,0.136912,,,,
Block 7,67.247496,46.770811,,Interface 31,30.000000,11.050864,13.065219,50.000000,0.136912,,0.000000,0.000000,No
Block 7,46.814911,68.736909,,Interface 32,30.000000,11.050864,11.820912,50.000000,0.136912,,,,
Block 7,55.228552,76.394458,,Interface 33,30.000000,11.050864,10.576606,50.000000,0.136912,,,,
Block 7,75.179312,53.989834,,Interface 34,30.000000,11.050864,9.332299,50.000000,0.136912,,,,
Block 7,67.247496,46.770811,,Interface 35,30.000000,11.050864,8.087993,50.000000,0.136912,,,,
Block 8,75.179312,53.989834,,Interface 36,30.000000,11.050864,6.843686,50.000000,0.136912,,0.000000,0.000000,No
Block 8,55.228552,76.394458,,Interface 37,30.000000,11.050864,5.599380,50.000000,0.136912,,,,
Block 8,63.806496,83.867494,,Interface 38,30.000000,11.050864,4.355073,50.000000,0.136912,,,,
Block 8,83.266024,61.034912,,Interface 39,30.000000,11.050864,3.110766,50.000000,0.136912,,,,
Block 8,75.179312,53.989834,,Interface 40,30.000000,11.050864,1.866460,50.000000,0.136912,,,,
Block 9,83.266024,61.034912,,Interface 41,30.000000,11.050864,0.622153,50.000000,0.136912,,0.000000,0.000000,No
Block 9,63.806496,83.867494,,Interface 42,30.000000,11.050864,-0.622153,50.000000,0.136912,,,,
Block 9,72.544699,91.152493,,Interface 43,30.000000,11.050864,-1.866460,50.000000,0.136912,,,,
